Município;neventos;popresidente;eventos1000hab;%ev/pop;txanalf;txdesemp;indpcomp;%popid(15-65);medenf;medenf/pop
Vendas Novas;49;11846;4.1;0.004;8.2;8.5;95;0.61;18;0.002
Viana do Alentejo;17;5743;3;0.003;12.4;9.6;72.2;0.6;12;0.002
Vila Viçosa;3;8319;0.4;0;9.3;11.6;81.2;0.64;18;0.002
Albufeira;143;40828;3.5;0.004;3.8;17.2;102.8;0.71;62;0.002
Alcoutim;3;2917;1;0.001;19.2;8.8;59.9;0.48;9;0.003
Aljezur;4;5884;0.7;0.001;11.2;12;66.7;0.6;9;0.002
Castro Marim;10;6747;1.5;0.001;10.3;17.1;75;0.61;13;0.002
Faro;166;64560;2.6;0.003;3.9;13.2;133.1;0.67;113;0.002
Lagoa;44;22975;1.9;0.002;4.7;17.1;87.1;0.67;37;0.002
Lagos;68;31049;2.2;0.002;5.3;15.7;93.3;0.65;41;0.001
Loulé;136;70622;1.9;0.002;4.8;15.1;100.2;0.66;87;0.001
Monchique;5;6045;0.8;0.001;12;14.7;53.9;0.58;10;0.002
Olhão;156;45396;3.4;0.003;5.2;17.3;81.4;0.66;65;0.001
Portimão;168;55614;3;0.003;4.4;17.2;103.1;0.66;65;0.001
São Brás de Alportel;19;10662;1.8;0.002;4.3;12.2;87.2;0.63;23;0.002
Silves;58;37126;1.6;0.002;6.9;15.6;73.8;0.64;51;0.001
Tavira;41;26167;1.6;0.002;7.8;15.1;88.5;0.63;49;0.002
Vila do Bispo;8;5258;1.5;0.002;7.9;10.8;59.7;0.64;12;0.002
Vila Real de Santo António;57;19156;3;0.003;5.3;19.9;91.9;0.65;46;0.002
Vila do Porto;20;5552;3.6;0.004;4.3;8.7;87.4;0.7;23;0.004
Lagoa [R.A.A.];87;14442;6;0.006;4.7;13.6;67.3;0.69;24;0.002
Nordeste;22;4937;4.5;0.004;6.6;10.8;55.9;0.65;19;0.004
Ponta Delgada;370;68809;5.4;0.005;3.5;12;104.3;0.71;153;0.002
Povoação;19;6327;3;0.003;7.3;14.6;57.8;0.68;22;0.003
Ribeira Grande;146;32112;4.5;0.005;6.7;14.3;63.3;0.68;88;0.003
Vila Franca do Campo;55;11229;4.9;0.005;8.5;15.6;59.2;0.69;46;0.004
Angra do Heroísmo;96;35402;2.7;0.003;4.3;9.3;91.2;0.69;73;0.002
Vila da Praia da Vitória;69;21035;3.3;0.003;4.4;10.2;72.6;0.7;55;0.003
Santa Cruz da Graciosa;7;4391;1.6;0.002;6.4;9.6;68.7;0.65;21;0.005
Calheta [R.A.A.];8;3773;2.1;0.002;6;6.2;63.7;0.65;15;0.004
Velas;7;5398;1.3;0.001;5.5;8.6;72.4;0.67;19;0.004
Lajes do Pico;7;4711;1.5;0.001;3.4;6.7;65.3;0.65;18;0.004
Madalena;15;6049;2.5;0.002;3.7;6.5;82.8;0.67;19;0.003
São Roque do Pico;8;3388;2.4;0.002;3.6;7.3;75.4;0.67;18;0.005
Horta;51;14994;3.4;0.003;2.9;8.6;86.4;0.69;37;0.002
Lajes das Flores;0;1504;0;0;3.4;5.3;64.3;0.66;0;0
Santa Cruz das Flores;12;2289;5.2;0.005;3.9;7.9;80.8;0.68;18;0.008
Corvo;0;430;0;0;3.9;6.3;63.1;0.69;0;0
Calheta [R.A.M.];22;11521;1.9;0.002;10.3;12.3;59.4;0.63;58;0.005
Câmara de Lobos;88;35666;2.5;0.002;9.8;18.1;53.1;0.69;82;0.002
Funchal;345;111892;3.1;0.003;4.9;14.2;113.4;0.69;213;0.002
Machico;78;21828;3.6;0.004;8.4;17.3;72.8;0.7;77;0.004
Ponta do Sol;20;8862;2.3;0.002;9.5;14.8;52.9;0.63;27;0.003
Porto Moniz;13;2711;4.8;0.005;13.1;10.7;52.9;0.63;15;0.006
Ribeira Brava;37;13375;2.8;0.003;12.5;12.9;65.1;0.66;50;0.004
Santa Cruz;66;43005;1.5;0.002;4.1;13;73.5;0.71;82;0.002
Santana;24;7719;3.1;0.003;13.8;14.8;54.8;0.63;52;0.007
São Vicente;12;5723;2.1;0.002;13;11.7;59.6;0.63;47;0.008
Porto Santo;11;5483;2;0.002;4.2;18.9;96.1;0.72;24;0.004
